# Device, ACE0398688
# Generated, 14.04.2026 14:19:39
txstart2: id 0xffffffffffffffff, socket 1, 2026-01-24 07:40:58 2593.341kWh 050FE8E3210000 3 2 N
mv: socket 1, 2026-02-04 08:20:59 2850.313 N
mv: socket 1, 2026-02-04 08:35:59 2852.199 N
mv: socket 1, 2026-02-04 08:50:59 2854.084 N
mv: socket 1, 2026-02-04 09:05:59 2855.977 N
mv: socket 1, 2026-02-04 09:20:59 2857.880 N
mv: socket 1, 2026-02-04 09:36:00 2859.786 N
mv: socket 1, 2026-02-04 09:50:59 2861.692 N
mv: socket 1, 2026-02-04 10:05:59 2863.589 N
mv: socket 1, 2026-02-04 10:20:59 2865.488 N
mv: socket 1, 2026-02-04 10:36:00 2867.386 N
mv: socket 1, 2026-02-04 10:50:59 2869.281 N
mv: socket 1, 2026-02-04 11:05:59 2870.046 N
mv: socket 1, 2026-02-04 11:20:59 2870.046 N
mv: socket 1, 2026-02-04 11:35:59 2870.046 N
mv: socket 1, 2026-02-04 11:50:59 2870.046 N
mv: socket 1, 2026-02-04 12:05:59 2870.046 N
mv: socket 1, 2026-02-04 12:20:59 2870.046 N
mv: socket 1, 2026-02-04 12:36:00 2870.046 N
mv: socket 1, 2026-02-04 12:50:59 2870.046 N
mv: socket 1, 2026-02-04 13:05:59 2870.046 N
mv: socket 1, 2026-02-04 13:20:59 2870.046 N
mv: socket 1, 2026-02-04 13:35:59 2870.046 N
mv: socket 1, 2026-02-04 13:50:59 2870.046 N
mv: socket 1, 2026-02-04 14:05:59 2870.046 N
mv: socket 1, 2026-02-04 14:20:59 2870.046 N
mv: socket 1, 2026-02-04 14:35:59 2870.046 N
mv: socket 1, 2026-02-04 14:50:59 2870.046 N
mv: socket 1, 2026-02-04 15:05:59 2870.046 N
mv: socket 1, 2026-02-04 15:20:59 2870.046 N
mv: socket 1, 2026-02-04 15:35:59 2870.046 N
mv: socket 1, 2026-02-04 15:50:59 2870.046 N
mv: socket 1, 2026-02-04 16:05:59 2870.046 N
mv: socket 1, 2026-02-04 16:20:59 2870.046 N
mv: socket 1, 2026-02-04 16:36:00 2870.046 N
mv: socket 1, 2026-02-04 16:50:59 2870.046 N
mv: socket 1, 2026-02-04 17:02:23 2870.046 N
txstop2: id 0xffffffffffffffff, socket 1, 2026-02-04 17:02:23 2870.046kWh 050FE8E3210000 6 5 N
txstart2: id 0xffffffffffffffff, socket 1, 2026-02-05 08:44:07 2870.046kWh 050FE8E3210000 3 2 N
mv: socket 1, 2026-02-05 08:44:07 2870.046 N
mv: socket 1, 2026-02-05 08:44:09 2870.046 N
mv: socket 1, 2026-02-05 08:59:08 2871.808 N
mv: socket 1, 2026-02-05 09:14:08 2873.694 N
mv: socket 1, 2026-02-05 09:29:08 2875.583 N
mv: socket 1, 2026-02-05 09:44:08 2877.474 N
mv: socket 1, 2026-02-05 09:59:08 2879.363 N
mv: socket 1, 2026-02-05 10:14:08 2881.249 N
mv: socket 1, 2026-02-05 10:29:08 2883.134 N
mv: socket 1, 2026-02-05 10:44:08 2885.020 N
mv: socket 1, 2026-02-05 10:59:08 2886.905 N
mv: socket 1, 2026-02-05 11:14:08 2888.789 N
mv: socket 1, 2026-02-05 11:29:09 2890.674 N
mv: socket 1, 2026-02-05 11:44:08 2892.557 N
mv: socket 1, 2026-02-05 11:59:09 2894.440 N
mv: socket 1, 2026-02-05 12:14:08 2896.319 N
mv: socket 1, 2026-02-05 12:29:08 2898.204 N
mv: socket 1, 2026-02-05 12:44:08 2900.018 N
mv: socket 1, 2026-02-05 12:59:08 2900.018 N
mv: socket 1, 2026-02-05 13:14:08 2900.018 N
mv: socket 1, 2026-02-05 13:29:09 2900.018 N
mv: socket 1, 2026-02-05 13:44:08 2900.018 N
mv: socket 1, 2026-02-05 13:59:08 2900.018 N
mv: socket 1, 2026-02-05 14:14:08 2900.018 N
mv: socket 1, 2026-02-05 14:29:08 2900.018 N
mv: socket 1, 2026-02-05 14:44:08 2900.018 N
mv: socket 1, 2026-02-05 14:59:08 2900.018 N
mv: socket 1, 2026-02-05 15:14:08 2900.018 N
mv: socket 1, 2026-02-05 15:29:08 2900.018 N
mv: socket 1, 2026-02-05 15:44:08 2900.018 N
mv: socket 1, 2026-02-05 15:59:08 2900.018 N
mv: socket 1, 2026-02-05 16:14:08 2900.018 N
mv: socket 1, 2026-02-05 16:29:08 2900.018 N
mv: socket 1, 2026-02-05 16:44:08 2900.018 N
mv: socket 1, 2026-02-05 16:59:08 2900.018 N
mv: socket 1, 2026-02-05 17:14:08 2900.018 N
mv: socket 1, 2026-02-05 17:29:08 2900.018 N
mv: socket 1, 2026-02-05 17:29:36 2900.018 N
txstop2: id 0xffffffffffffffff, socket 1, 2026-02-05 17:29:36 2900.018kWh 050FE8E3210000 6 5 N
txstart2: id 0xffffffffffffffff, socket 1, 2026-02-06 07:30:45 2900.018kWh 050FE8E3210000 3 2 N
mv: socket 1, 2026-02-06 07:30:45 2900.018 N
mv: socket 1, 2026-02-06 07:30:47 2900.018 N
mv: socket 1, 2026-02-06 07:45:46 2901.803 N
mv: socket 1, 2026-02-06 08:00:46 2903.708 N
mv: socket 1, 2026-02-06 08:15:46 2905.594 N
mv: socket 1, 2026-02-06 08:30:46 2907.477 N
mv: socket 1, 2026-02-06 08:45:46 2909.359 N
mv: socket 1, 2026-02-06 09:00:46 2911.238 N
mv: socket 1, 2026-02-06 09:15:47 2913.119 N
mv: socket 1, 2026-02-06 09:30:46 2914.995 N
mv: socket 1, 2026-02-06 09:45:46 2916.877 N
mv: socket 1, 2026-02-06 10:00:46 2918.757 N
mv: socket 1, 2026-02-06 10:15:46 2920.634 N
mv: socket 1, 2026-02-06 10:30:46 2922.524 N
mv: socket 1, 2026-02-06 10:45:46 2923.933 N
mv: socket 1, 2026-02-06 11:00:46 2923.933 N
mv: socket 1, 2026-02-06 11:15:46 2923.933 N
mv: socket 1, 2026-02-06 11:30:46 2923.933 N
mv: socket 1, 2026-02-06 11:45:46 2923.933 N
mv: socket 1, 2026-02-06 12:00:46 2923.933 N
mv: socket 1, 2026-02-06 12:15:46 2923.933 N
mv: socket 1, 2026-02-06 12:30:46 2923.933 N
mv: socket 1, 2026-02-06 12:45:46 2923.933 N
mv: socket 1, 2026-02-06 13:00:46 2923.933 N
mv: socket 1, 2026-02-06 13:15:46 2923.933 N
mv: socket 1, 2026-02-06 13:30:46 2923.933 N
mv: socket 1, 2026-02-06 13:45:46 2923.933 N
mv: socket 1, 2026-02-06 14:00:46 2923.933 N
mv: socket 1, 2026-02-06 14:15:46 2923.933 N
mv: socket 1, 2026-02-06 14:22:22 2923.933 N
txstop2: id 0xffffffffffffffff, socket 1, 2026-02-06 14:22:22 2923.933kWh 050FE8E3210000 6 5 N
txstart2: id 0xffffffffffffffff, socket 1, 2026-02-07 07:23:54 2923.933kWh 050FE8E3210000 3 2 N
mv: socket 1, 2026-02-07 07:23:54 2923.933 N
mv: socket 1, 2026-02-07 07:23:56 2923.933 N
mv: socket 1, 2026-02-07 07:38:54 2925.713 N
mv: socket 1, 2026-02-07 07:53:54 2927.626 N
mv: socket 1, 2026-02-07 08:08:55 2929.540 N
mv: socket 1, 2026-02-07 08:23:54 2931.454 N
mv: socket 1, 2026-02-07 08:38:54 2933.372 N
mv: socket 1, 2026-02-07 08:53:54 2935.289 N
mv: socket 1, 2026-02-07 09:08:55 2937.206 N
mv: socket 1, 2026-02-07 09:23:54 2939.123 N
mv: socket 1, 2026-02-07 09:38:54 2941.044 N
mv: socket 1, 2026-02-07 09:53:54 2942.967 N
mv: socket 1, 2026-02-07 10:08:54 2944.892 N
mv: socket 1, 2026-02-07 10:23:54 2946.817 N
mv: socket 1, 2026-02-07 10:38:54 2947.588 N
mv: socket 1, 2026-02-07 10:53:54 2947.588 N
mv: socket 1, 2026-02-07 11:08:54 2947.588 N
mv: socket 1, 2026-02-07 11:23:54 2947.588 N
mv: socket 1, 2026-02-07 11:38:54 2947.588 N
mv: socket 1, 2026-02-07 11:53:54 2947.588 N
mv: socket 1, 2026-02-07 12:08:54 2947.588 N
mv: socket 1, 2026-02-07 12:23:54 2947.588 N
mv: socket 1, 2026-02-07 12:38:54 2947.588 N
